Ülemkood;RfkLiik;Kood;Kirjeldus;Selgitus;KA;VA;
b510-b539;B;b5358;TT seedesüsteemiga seonduvad aistingud;;;;
b510-b539;B;b5359;Tta seedesüsteemiga seonduvad aistingud;;;;
b510-b539;B;b539;TT ja Tta seedesüsteemiga seotud funktsioonid;;;;
b5;B;b540-b559;Ainevahetus- ja endokriinsüsteemiga seotud funktsioonid;;;;
b540-b559;B;b540;Üldised ainevahetusfunktsioonid;Keha põhikomponentide, nagu süsivesikute, valkude ja rasvade, nende üksteiseks ülemineku ja nende energiaks muundumise funktsioonid.;"K.a: ainevahetuse, põhiainevahetuse, süsivesikute, valkude ja rasvade metabolismi, katabolismi, anabolismi ja energiatekke funktsioonid; põhiainevahetuse kiirenemine või aeglustumine";"V.a: toidu omastamise funktsioonid (b520); kehakaalu säilitamise funktsioonid (b530); vee, mineraalainete ja elektrolüütide tasakaalu funktsioonid (b545); termoregulatsiooni funktsioonid (b550); endokriinnäärmete funktsioonid (b555)";
b540-b559;B;b5400;Põhiainevahetusfunktsioonid;Funktsioonid, mis on seotud organismi hapnikutarbimisega kindlate puhke- ja temperatuuritingimuste korral.;"K.a: põhiainevahetuse kiirenemine või aeglustumine; sellised puuded nagu kilpnäärme liig- või vaegtalitluse (hüpervõi hüpotüreoidismi) puhul";;
b540-b559;B;b5401;Süsivesinikute ainevahetus;Funktsioonid, mis on seotud toiduga saadud süsivesikute ladestamise või glükoosiks muutumise ning oksüdatsiooniprotsessiga, mille lõppproduktideks on süsihappegaas ja vesi.;;;
b540-b559;B;b5402;Valkude ainevahetus;Funktsioonid, mis on seotud toiduga saadud valkude aminohapeteks muutumise ja nende edasise töötlemise protsessiga.;;;
b540-b559;B;b5403;Rasvade ainevahetus;Funktsioonid, mis on seotud toiduga saadud rasvade ladestamise ja nende edasise lõhustamise protsessiga.;;;
b540-b559;B;b5408;TT üldised ainevahetusfunktsioonid;;;;
b540-b559;B;b5409;Tta üldised ainevahetusfunktsioonid;;;;
b540-b559;B;b545;Vee, mineraalainete ja elektrolüütide tasakaalu funktsioonid;Vee, mineraalainete ja elektrolüütide reguleerimise funktsioonid organismis.;"K.a: veetasakaalu, mineraalainete, nagu kaltsiumi-, tsingi ja rauatasakaalu ning elektrolüütide, nt naatriumi ja kaaliumi tasakaalu funktsioonid; sellised puuded nagu veepeetuse, kuivamise e dehüdratsiooni, hüper- ja hüpokaltseemia, rauavaeguse, hüperja";"V.a: vere funktsioonid (b430); üldised ainevahetusfunktsioonid (b540); endokriinnäärmete funktsioonid (b555)";
b540-b559;B;b5450;Veetasakaal;Organismis oleva vee hulga säilitamisega seotud funktsioonid.;K.a: sellised puuded nagu dehüdratsiooni ja rehüdratsiooni puhul;;
b540-b559;B;b54500;Veepeetus;Organismi veepeetusega seotud funktsioonid;;;
b540-b559;B;b54501;Veetasakaalu säilitamine;Organismi optimaalse veehulga säilitamisega seotud funktsioonid;;;
b540-b559;B;b54508;TT veetasakaalu funktsioonid;;;;
b540-b559;B;b54509;Tta veetasakaalu funktsioonid;;;;
b540-b559;B;b5451;Mineraalainete tasakaal;Mineraalainete manustamise, säilitamise, kasutamise ja eritamise tasakaalu hoidmisega seotud funktsioonid.;;;
b540-b559;B;b5452;Elektrolüütide tasakaal;Elektrolüütide manustamise, säilitamise, kasutamise ja eritamise tasakaaluga seotud funktsioonid.;;;
b540-b559;B;b5458;TT vee, mineraalainete ja elektrolüütide tasakaalu funktsioonid;;;;
b540-b559;B;b5459;Tta vee, mineraalainete ja elektrolüütide tasakaalu funktsioonid;;;;
b540-b559;B;b550;Termoregulatsiooni funktsioonid;Kehatemperatuuri reguleerimise funktsioonid;"K.a: kehatemperatuuri säilitamise funktsioonid; sellised puuded nagu hüpo- ja hüpertermia";"V.a: üldised ainevahetusfunktsioonid (b540); endokriinnäärmete funktsioonid (b555)";
b540-b559;B;b5500;Kehatemperatuur;Kehatemperatuuri reguleerimisega seotud funktsioonid.;K.a: sellised puuded nagu hüper- või hüpotermia;;
b540-b559;B;b5501;Kehatemperatuuri säilitamine;Optimaalse kehatemperatuuri säilitamisega seotud funktsioonid, kui ümbruskonna temperatuur muutub.;K.a: kuuma- või külmataluvus;;
b540-b559;B;b5508;TT termoregulatsiooni funktsioonid;;;;
b540-b559;B;b5509;Tta termoregulatsiooni funktsioonid;;;;
b540-b559;B;b555;Endokriinnäärmete funktsioonid; hormonaalse taseme tekke ja reguleerimisega, kaasa arvatud tsükliliste muutustega seotud funktsioonid.;"K.a: hormonaalse tasakaalu funktsioonid; hüper- ja hüpopituitarism (ajuripatsi eessagara liig- ja vaegtalitlus), hüper- ja hüpotüreoidism (kilpnäärme liig- või vaegtalitlus), hüpoadrenalism (neerupealiste vaegtalitlus), hüper- ja hüpoparatüreoidism (kõrva";"V.a: üldised ainevahetusfunktsioonid (b540); vee, mineraalainete ja elektrolüütide tasakaalu funktsioonid (b545); termoregulatsiooni funktsioonid (b550); seksuaalfunktsioonid (b640); menstruatsioonifunktsioonid (b650)";
b540-b559;B;b559;TT ja Tta ainevahetus- ja endokriinsüsteemiga seotud funktsioonid;;;;
b540-b559;B;b598;TT seede-, ainevahetus- ja endokriinsüsteemi funktsioonid;;;;
b540-b559;B;b599;Tta seede-, ainevahetus- ja endokriinsüsteemi funktsioonid;;;;
b;B;b6;UROGENITAALSED JA REPRODUKTIIVSED FUNKTSIOONID;Selles peatükis käsitletakse uriinieritust ja reproduktiivseid funktsioone, kaasa arvatud seksuaal- ja soojätkamisfunktsioone.;;;
b6;B;b610-b639;Uriinitekke ja urineerimisfunktsioonid;;;;
b610-b639;B;b610;Uriinitekke funktsioonid;Uriini tekke ja kusepõide kogunemisega seotud funktsioonid.;"K.a: uriini tekke ja kusepõide kogunemise funktsioonid; sellised puuded nagu neerupuudulikkuse, anuuria, oliguuria, hüdronefroosi, hüpotoonilise kusepõie ja ureteraalse obstruktsiooni korral";V.a: urineerimisfunktsioonid (b620);
b610-b639;B;b6100;Uriini filtratsioon;Uriini filtratsioonifunktsioon neerudes.;;;
b610-b639;B;b6101;Uriini kogunemine;Kusejuhade kaudu uriini kogunemise ja põies säilitamise funktsioonid.;;;
b610-b639;B;b6108;TT uriinitekke funktsioonid;;;;
b610-b639;B;b6109;Tta uriinitekke funktsioonid;;;;
b610-b639;B;b620;Urineerimisfunktsioonid;Põie tühjendamisega seotud funktsioonid;"K.a: urineerimise, selle sageduse, uriinipidamisvõime funktsioonid; sellised puuded nagu rõhk-, sund-, refleks-, ülevoolu- ja pideva inkontinentsuse e kusepidamatuse, tilkumise või nirisemise, põieautomatismi, liigkusesuse e polüuuria, uriinipeetuse ja säilitamise ning pakilisuse tajumine";"V.a: uriinitekke funktsioonid (b610); uriinitekke ja urineerimisega seonduvad aistingud (b630)";
b610-b639;B;b6200;Urineerimine;Põie tühjendamise funktsioonid.;K.a: sellised puuded nagu uriinipeetuse e uriini retentsiooni puhul;;
b610-b639;B;b6201;Urineerimise sagedus;Põie tühjendamise sagedusega seotud funktsioonid.;;;
b610-b639;B;b6202;Uriinipidamisvõime;Urineerimise kontrollfunktsioonid;K.a: sellised puuded nagu rõhk-, sund-, refleks-, pideva ja segatüüpi pidamatuse puhul;;
b610-b639;B;b6208;TT urineerimisfunktsioonid;;;;
b610-b639;B;b6209;Tta urineerimisfunktsioonid;;;;
b610-b639;B;b630;Uriinitekke ja urineerimisega seonduvad aistingud;Uriinitekke ja põie tühjendamisega seonduvad aistingud.;K.a: põie mittetäieliku tühjendamise ja täispõie tunne;"V.a: valuaisting (b280); urineerimisfunktsioonid (b620)";
b610-b639;B;b639;TT ja Tta uriinitekke ja urineerimisfunktsioonid;;;;
b6;B;b640-b679;Genitaalsed ja reproduktiivsed funktsioonid;;;;
b640-b679;B;b640;Seksuaalfunktsioonid;Suguaktiga seotud psüühilised ja füüsilised  funktsioonid, kaasa arvatud erutustekke, eelmängu, orgasmi ja pingelanguse staadiumid.;"K.a: seksuaalse erutuse tekke, eelmängu, orgasmi ja pingelanguse faasi funktsioonid: seksuaalse huvi ja selle arenemise, peenise erektsiooni, kliitori erektsiooni, vaginaalse lubrikatsiooni, ejakulatsiooni ja orgasmiga seotud funktsioonid; sellised puuded nagu impotentsus, frigiidsus, vaginism,enneaegne ejakulatsioon,  priapsim ja hilinenud ejakulatsioon";"V.a: soojätkamisfunktsioonid (b660); genitaalsete ja reproduktiivsete funktsioonidega seonduvad aistingud (b670)";
b640-b679;B;b6400;Seksuaalse erutuse tekkefaasi funktsioonid;Seksuaalse huvi ja ärritusega seotud funktsioonid.;;;
b640-b679;B;b6401;Seksuaalse eelmängufaasi funktsioonid;Seksuaalvahekorra ettevalmistamisega seotud funktsioonid;;;
b640-b679;B;b6402;Orgasmifaasi funktsioonid;Orgasmi saamisega seotud funktsioonid.;;;
b640-b679;B;b6403;Seksuaalse pingelanguse faasi funktsioonid;Orgasmijärgse rahulolu ja sellega kaasneva lõdvestusega seotud funktsioonid.;K.a: sellised puuded nagu orgasmiga rahulolematus;;
b640-b679;B;b6408;TT seksuaalfunktsioonid;;;;
b640-b679;B;b6409;Tta seksuaalfunktsioonid;;;;
b640-b679;B;b650;Menstruatsioonifunktsioonid;Menstruatsioonitsükliga seotud funktsioonid, kaasa arvatud  menstruatsiooni regulaarsus ja menstruaalsekreedi eritamine.;"K.a: menstruatsiooni regulaarsuse ja intervalli, menstruaalvere hulga, menarhe e menstruatsioonide alguse ja menopausiga seotud funktsioonid; sellised puuded nagu primaarne ja sekundaarne amenorröa, menorraagia, polümenorröa, retrograadne menstruatsioon";"V.a: seksuaalfunktsioonid (b640); soojätkamisfunktsioonid (b660); genitaalsete ja reproduktiivsete funktsioonidega seonduvad aistingud (b670); valuaisting (b280)";
b640-b679;B;b6500;Menstruaaltsükli regulaarsus;Menstruatsioonitsükli regulaarsusega seotud funktsioonid.;K.a: liiga sage või liiga harv menstruatsioon;;
b640-b679;B;b6501;Menstruaaltsüklite intervall;Kahe menstruatsioonitsükli vahelise perioodi pikkusega seotud funktsioonid.;;;
b640-b679;B;b6502;Menstruaalvere hulk;Menstruaaleritise hulgaga seotud funktsioonid.;"K.a: liiga vähene menstruaaleritis (hüpomenorröa); liiga rohke menstruaaleritis (menorraagia, hüpermenorröa)";;
b640-b679;B;b6508;TT menstruatsioonifunktsioonid;;;;
b640-b679;B;b6509;Tta menstruatsioonifunktsioonid;;;;
b640-b679;B;b660;Soojätkamisfunktsioonid;Viljakuse, raseduse, sünnitamise ja laktatsiooniga seotud funktsioonid.;"K.a: mehe ja naise viljakusega seotud funktsioonid, rasedus, sünnitamine, piima eritamine ja imetamine; sellised puuded nagu seemnerakutus e azoospermia, oligozoospermia, piimavoolus e galaktorröa, piimatus e agalaktorröa, alaktatsioon ja sellised puuded nagu subfertiilsus, steriilsus, iseeneslik abort, emakaväline rasedus, nurisünnitus, väike loode, hüdramnioos ja enneaegse suremus, ülekantud rasedus";"V.a: seksuaalfunktsioonid (b640); menstruatsioonifunktsioonid (b650)";
b640-b679;B;b6600;Fertiilsusega seotud funktsioonid;Soojätkamiseks vajalike sugurakkude e gameetide produtseerimise võimega seotud funktsioonid.;K.a: sellised puuded nagu subfertiilsuse ja steriilsuse puhul;V.a: seksuaalfunktsioonid (b640) b6601 Rasedusega seotud funktsioonid Rasedaks jäämise;
b640-b679;B;b6601;Rasedusega seotud funktsioonid;Rasedaks jäämise ja rasedusega seotud funktsioonid.;;;
b640-b679;B;b6602;Sünnitamisega seotud funktsioonid;Sünnitamisprotsessiga seotud funktsioonid.;;;
b640-b679;B;b6603;Laktatsioon;Piimatekke ja piima lapsele kättesaadavaks tegemisega seotud funktsioonid.;;;
b640-b679;B;b6608;TT soojätkamisfunktsioonid;;;;
b640-b679;B;b6609;Tta  soojätkamisfunktsioonid;;;;
b640-b679;B;b670;Genitaalsete ja reproduktiivsete funktsioonidega seonduvad aistingud;Seksuaalvahekorra, menstruatsiooni ja muude genitaalsete või reproduktiivsete funktsioonidega seonduvad aistingud.;K.a: düspareuunia, düsmenorröa, menopausiaegsed kuumad hood või öine higistamine;"V.a: valuaisting (b289); uriinitekke ja urineerimisega seonduvad aistingud (b630); seksuaalfunktsioonid (b640); menstruatsioonifunktsioonid (b650); soojätkamisfunktsioonid (b660)";
b640-b679;B;b6700;Seksuaalvahekorraga seonduv ebamugavustunne;Seksuaalse erutuse, eelmängu, vahekorra, orgasmi ja pingelangusega seonduvad aistingud.;;;
b640-b679;B;b6701;Menstruatsioonitsükliga seonduv ebamugavustunne Menstruatsiooniga, kaasa arvatud pre- ja postmenstruaalfaasiga seonduvad aistingud;;;;
b640-b679;B;b6702;Menopausiga seonduv ebamugavustunne;Menstruatsioonitsükli lakkamisega seonduvad aistingud.;K.a: menopausiaegsed kuumad hood ja öine higistamine;;
b640-b679;B;b6708;TT genitaalsete ja reproduktiivsete funktsioonidega seonduvad aistingud;;;;
b640-b679;B;b6709;Tta genitaalsete ja reproduktiivsete funktsioonidega seonduvad aistingud;;;;
b640-b679;B;b679;TT ja Tta genitaalsed ja reproduktiivsed funktsioonid;;;;
b640-b679;B;b698;TT urogenitaalsed ja reproduktiivsed funktsioonid;;;;
b640-b679;B;b699;Tta urogenitaalsed ja reproduktiivsed funktsioonid;;;;
b;B;b7;NÄRVIDE, LIHASTE, LUUSTIKU JA LIIKUMISEGA SEOTUD FUNKTSIOONID;See peatükk käsitleb liikumist ja liikuvust, kaasa arvatud liigeste, luude, reflekside ja lihaste funktsioonid.;;;
b7;B;b710-b729;Liigeste ja luude funktsioonid;;;;
b710-b729;B;b710;Liigeste liikuvuse funktsioonid;Liigese liikumisulatuse ja -kerguse funktsioonid.;"K.a: Ühe või mitme liigese, lülidevahe-, õla-, küünar-, randme-, puusa-, põlve-, hüppe-, sõrme- ja varbaliigeste liikuvuse funktsioonid; üldine liigeste liikuvus; sellised puuded nagu liigeste hüpermobiilsuse, liigesejäikuse, õlajäikuse, liigesepõletiku e artriidi";"V.a: liigeste stabiilsuse funktsioonid (b715); tahtlike liigutuste kontrollimise funktsioonid (b760)";
b710-b729;B;b7100;Ühe liigese liikuvus;Ühe liigese liikumisulatuse ja -kergusega seotud funktsioonid.;;;
b710-b729;B;b7101;Mitme liigese liikuvus;Kahe või enama liigese liikumisulatuse ja - kergusega seotud funktsioonid;;;
b710-b729;B;b7102;Üldine liigesliikuvus;Kogu keha liigeste liikumisulatuse ja - kergusega seotud funktsioonid.;;;
b710-b729;B;b7108;TT liigeste liikuvuse funktsioonid;;;;
b710-b729;B;b7109;Tta liigeste liikuvuse funktsioonid;;;;
b710-b729;B;b715;Liigeste stabiilsuse funktsioonid;Liigeste struktuurilise terviklikkuse säilitamisega seotud funktsioonid.;"K.a: ühe või mitme liigese või liigeste üldise stabiilsuse funktsioonid; sellised puuded nagu ebastabiilse õlaliigese, liigese nihestuse, õla- ja puusanihestuse puhul";V.a: liigeste liikuvuse funktsioonid (b710);
b710-b729;B;b7150;Ühe liigese stabiilsus;Ühe liigese struktuurilise terviklikkuse säilitamisega seotud funktsioonid.;;;
b710-b729;B;b7151;Mitme liigese stabiilsus;Kahe või enama liigese struktuurilise terviklikkuse säilitamisega seotud funktsioonid.;;;
b710-b729;B;b7152;Üldine liigeste stabiilsus;Kogu keha liigeste struktuurilise terviklikkuse säilitamisega seotud funktsioonid.;;;
b710-b729;B;b7158;TT liigeste stabiilsuse funktsioonid;;;;
b710-b729;B;b7159;Tta liigeste stabiilsuse funktsioonid;;;;
b710-b729;B;b720;Luude liikuvuse funktsioonid;Abaluu, vaagna-, randme- ja pöialuude liikumisulatuse ja -kergusega seotud funktsioonid.;K.a: sellised puuded nagu abaluu ja vaagna jäikus;V.a: liigeste liikuvuse funktsioonid (b710);
b710-b729;B;b7200;Abaluu liikuvus;Abaluu liikumisulatuse ja -kergusega seotud funktsioonid.;K.a: sellised puuded nagu abaluu ette, taha, küljele ja keskele nihkumine (protraktsioon, retraktsioon, laterorotatsioon ja mediaalrotatsioon);;
b710-b729;B;b7201;Vaagnaluude liikuvus;Vaagnaluude liikumisulatuse ja -kergusega seotud funktsioonid.;K.a: vaagnaluude rotatsioon;;
b710-b729;B;b7202;Randmeluude liikuvus;Randmeluude liikumisulatuse ja -kergusega seotud funktsioonid.;;;
b710-b729;B;b7203;Pöialuude liikuvus;Pöialuude liikumisulatuse ja -kergusega seotud funktsioonid.;;;
b710-b729;B;b7208;TT luude liikuvuse funktsioonid;;;;
b710-b729;B;b7209;Tta luude liikuvuse funktsioonid;;;;
b710-b729;B;b729;TT ja Tta liigeste ja luude funktsioonid;;;;
b7;B;b730-b749;Lihaste funktsioonid;;;;
b730-b749;B;b730;Lihasjõu funktsioonid;Lihase või lihasrühma kontraktsioonijõuga seotud funktsioonid.;"K.a: spetsiifiliste lihaste ja lihasrühmade, ühe jäseme lihaste, ühe kehapoole lihaste, allkeha lihaste, kõigi jäsemete, kehatüve ja organismi kui terviku lihasjõuga seotud funktsioonid; sellised puuded nagu käte ja jalgade väikeste lihaste nõrkus";"V.a: silmamanuste funktsioonid (b215); lihastoonuse funktsioonid (b735); lihaste vastupidavuse funktsioonid (b740)";
b730-b749;B;b7300;Üksikute lihaste või lihasrühma jõud;Spetsiifilise ja isoleeritud lihase või lihasrühma kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu jalgade ja käte väikeste lihaste nõrkus;;
b730-b749;B;b7301;Ühe jäseme lihaste jõud;Ühe käe või jala lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu monoparees või monopleegia;;
b730-b749;B;b7302;Ühe kehapoole lihaste jõud;Vasaku või parema kehapoole lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu hemiparees või hemipleegia;;
b730-b749;B;b7303;Allkeha lihaste jõud;Allkeha lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu paraparees või parapleegia;;
b730-b749;B;b7304;Kõigi jäsemete lihaste jõud;Kõigi nelja jäseme lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu tetraparees või tetrapleegia;;
b730-b749;B;b7305;Kehatüve lihaste jõud;Kehatüve lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;;;
b730-b749;B;b7306;Kõigi kehatüve lihaste jõud;Keha kõigi lihaste või lihasrühmade kontraktsioonijõuga seotud funktsioonid.;K.a: sellised puuded nagu akineetiline mutism;;
b730-b749;B;b7308;TT lihasjõu funktsioonid;;;;
b730-b749;B;b7309;Tta lihasjõu funktsioonid;;;;
b730-b749;B;b735;Lihastoonuse funktsioonid;Funktsioonid, mis on seotud lihaste puhkeoleku toonusega ja passiivsel liigutamisel tekkiva vastupanuga.;"K.a: üksikute lihaste või lihasrühma, ühe jäseme, ühe kehapoole ja allkeha lihaste, kõigi jäsemete lihaste, kehatüve lihaste ja organismi kõigi lihaste pingega seotud funktsioonid; sellised puuded nagu hüpotoonia, hüpertoonia ja lihaste spastilisus";"V.a: lihasjõu funktsioonid (b730); lihaste vastupidavuse funktsioonid (b740)";
b730-b749;B;b7350;Üksikute lihaste või lihasrühmade toonus;Funktsioonid, mis on seotud eri lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga.;K.a: sellised puuded nagu koldelise düstoonia, nt kõõrkaela puhul;;
b730-b749;B;b7351;Ühe jäseme lihastoonus;Funktsioonid, mis on seotud ühe käe või jala lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga.;K.a: monopareesi ja monopleegiaga seotud puuded;;
b730-b749;B;b7352;Ühe kehapoole lihastoonus;Funktsioonid, mis on seotud vasaku või parema kehapoole lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga.;K.a: hemipareesi ja hemipleegiaga seotud puuded;;
b730-b749;B;b7353;Allkeha lihastoonus;Funktsioonid, mis on seotud alumise kehapoole lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga;K.a: parapareesi ja parapleegiaga seotud puuded;;
b730-b749;B;b7354;Kõigi jäsemete lihastoonus;Funktsioonid, mis on seotud kõigi nelja jäseme lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga;K.a: tetrapareesi ja tetrapleegiaga seotud puuded;;
b730-b749;B;b7355;Kehatüve lihastoonus;Funktsioonid, mis on seotud kehatüve lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga.;;;
b730-b749;B;b7356;Keha kõigi lihaste toonus;Funktsioonid, mis on seotud kogu keha lihaste või lihasrühmade puhkeoleku toonuse ja nende lihaste passiivsel liigutamisel tekkiva vastupanuga.;;;
b730-b749;B;b7358;TT lihastoonuse funktsioonid;;;;
b730-b749;B;b7359;Tta lihastoonuse funktsioonid;;;;
b730-b749;B;b740;Lihaste vastupidavuse funktsioonid;Funktsioonid, mis on seotud lihaskontraktsiooni säilitamisega teatud aja jooksul.;"K.a: üksikute lihaste või lihasrühma ning kogu keha lihaste kontraktsiooni säilitamisega seotud funktsioonid; puuded nagu raske müasteenia puhul";"V.a: koormustaluvuse funktsioonid (b455); lihasjõu funktsioonid (b730); lihastoonuse funktsioonid (b735)";
b730-b749;B;b7400;Üksikute lihaste vastupidavus;Funktsioonid, mis on seotud isoleeritud lihaste kontraktsiooni säilitamisega teatud aja jooksul.;;;
b730-b749;B;b7401;Lihasrühma vastupidavus;Funktsioonid, mis on seotud isoleeritud lihasrühmade kontraktsiooni säilitamisega teatud aja jooksul.;K.a: monopareesi ja -pleegia, hemipareesi ja -pleegia, parapareesi ja - pleegiaga seotud puuded;;
b730-b749;B;b7402;Keha kõigi lihaste vastupidavus;Funktsioonid, mis on seotud kogu keha lihaste kontraktsiooni säilitamisega teatud aja jooksul.;K.a: tetrapareesi, -pleegia, üldise pareesi ja paralüüsiga seotud puuded;;
b730-b749;B;b7408;TT lihaste vastupidavuse funktsioonid;;;;
b730-b749;B;b7409;Tta lihaste vastupidavuse funktsioonid;;;;
b730-b749;B;b749;TT ja Tta lihaste funktsioonid;;;;
b7;B;b750-b789;Liigutuste funktsioonid;;;;
b750-b789;B;b750;Motoorsete refekside funktsioonid;Spetsiifiliste ärritajate tõttu automaatselt vallandunud tahtmatute lihaskontraktsioonidega seotud funktsioonid.;"K.a: sirutusrefleksi, automaatse lokaalse liigeserefleksi, kahjustavatest ja muudest välistest ärritajatest tingitud reflekside funktsioonid; äratõmberefleks, biitsepsirefleks, radiaalrefleks, nelikpealihase refleks, põlverefleks, kannarefleks";;
b750-b789;B;b7500;Sirutusrefleks;Sirutamise tõttu automaatselt vallandunud tahtmatute lihaskontraktsioonidega seotud funktsioonid.;;;
b750-b789;B;b7501;Kahjustavatest ärritajatest tingitud refleksid;Valulike või muude kahjustavate ärritajate tõttu automaatselt vallandunud tahtmatute lihaskontraktsioonidega seotud funktsioonid.;K.a: äratõmberefleks;;
b750-b789;B;b7502;Muudest motoorsetest ärritajatest tingitud refleksid;Muude kui kahjustavate väliste ärritajate tõttu automaatselt vallandunud tahtmatute lihaskontraktsioonidega seotud funktsioonid.;;;
b750-b789;B;b7508;TT motoorsete reflekside funktsioonid;;;;
b750-b789;B;b7509;Tta motoorsete reflekside funktsioonid;;;;
b750-b789;B;b755;Tahtmatute liigutusreaktsioonide funktsioonid;Suurte lihaste tahtmatute kontraktsioonide või kogu keha liikumise funktsioonid, mida põhjustavad keha asend, tasakaal või ähvardav ärritaja.;K.a: asendivahetuse, sirguajamise, keha kohendamise, tasakaalu, tugi- ja kaitsereaktsioonid;V.a: motoorsete reflekside funktsioonid (b750);
b750-b789;B;b760;Tahtlike liigutuste kontrollimise funktsioonid;Tahtlike liigutuste kontrollimise ja koordineerimisega seotud funktsioonid.;"K.a: lihtsate ja keeruliste tahtlike liigutuste, tahtlike liigutuste koordinatsiooni, käe või jala tugifunktsiooni, vasak-parem motoorse koordinatsiooni, silm-käsi-, silm-jalgkoordinatsiooni funktsioonid; sellised puuded nagu kontrolli- ja koordinatsiooniga seotud";"V.a: lihasjõu funktsioonid (b730); tahtmatute liigutuste funktsioonid (b765); kõnnaku funktsioonid (b770)";
b750-b789;B;b7600;Lihtsate tahtlike liigutuste kontrollimine;Lihtsate või üksikute tahtlike liigutuste kontrollimise ja koordineerimisega seotud funktsioonid.;;;
b750-b789;B;b7601;Keeruliste tahtlike liigutuste kontrollimine;Keeruliste tahtlike liigutuste kontrollimise ja koordineerimisega seotud funktsioonid.;;;
b750-b789;B;b7602;Tahtlike liigutuste koordineerimine;Funktsioonid, mis on seotud lihtsate ja keeruliste tahtlike liigutuste koordineerimisega, liigutuste sooritamisega õiges kombinatsioonis.;"K.a: vasak-parem-koordinatsioon, visuaalselt suunatud, nt silm-käsi- ja silm-jalg-koordinatsioon; sellised puuded nagu düsdiadohhokinees";;
b750-b789;B;b7603;Käe või jala tugifunktsioonid;Funktsioonid, mis on seotud tahtlike liigutuste kontrollimise või koordinatsiooniga toetumisel käsivartele (küünarnukkidele või kätele) või jalasäärtele (põlvedele või jalalabadele).;;;
b750-b789;B;b7608;TT tahtlike liigutuste kontrollimise funktsioonid;;;;
b750-b789;B;b7609;Tta tahtlike liigutuste kontrollimise funktsioonid;;;;
b750-b789;B;b765;Tahtmatute liigutuste funktsioonid;Lihaste või lihasrühmade tahtmatu, sihipäratu või poolsihipärase tahtmatu kontraktsiooniga seotud funktsioonid.;K.a: tahtmatud lihaskontraktsioonid, sellised puuded nagu treemor, tikid, manerismid, stereotüüpiad, motoorne perseveratsioon, tantstõbi e korea, atetoos, hääletikid, düstoonilised liigutused ja düskineesia;"V.a: tahtlike liigutuste kontrollimise funktsioonid (b760); kõnnaku funktsioonid (b770)";
b750-b789;B;b7650;Tahtmatud lihaskontraktsioonid;Lihase või lihasrühmade tahtmatu, sihipäratu või poolsihipärase kontraktsiooni funktsioonid, nt psüühiliste häirete osana.;"K.a: sellised puuded nagu tantstõvele iseloomulikud e koreaatsed või atetootilised liigutused; unega seotud liigutushäired";;
b750-b789;B;b7651;Treemor;Liigest ümbritseva lihasrühma värisemist põhjustava vahelduva kontraktsiooni ja lõõgastumisega seotud funktsioonid.;;;
b750-b789;B;b7652;Tikid ja manerismid;Lihasrühma korduvate, näiliselt sihipäraste tahtmatute kontraktsioonide funktsioonid.;K.a: sellised puuded nagu hääletikid, rõvetsemine e koprolaalia ja hammastekiristus e bruksism;;
b750-b789;B;b7653;Stereotüüpiad ja motoorne perseveratsioon;Spontaansete, sihitute liigutuste funktsioonid, nt edasi-tagasi kiigutamine, peanoogutamine või tudisemine.;;;
b750-b789;B;b7658;TT tahtmatute liigutuste funktsioonid;;;;
b750-b789;B;b7659;Tta tahtmatute liigutuste funktsioonid;;;;
b750-b789;B;b770;Kõnnaku funktsioonid;Kõndimise, jooksmise ja muude kogu keha liikumisviiside funktsioonid.;"K.a: kõndimis- ja jooksmisviisid; sellised puuded nagu spastiline kõnd, hemipleegiline kõnd, parapleegiline kõnd, asümmeetriline kõnd, lonkamine ja jäik kõndimisviis";"V.a: lihasjõu funktsioonid (b730); lihastoonuse funktsioonid (b735); tahtlike liigutuste kontrollimise funktsioonid (b760); tahtmatute liigutuste funktsioonid (b765)";
b750-b789;B;b780;Lihaste ja liikumisega seotud aistingud;Keha lihaste või lihasrühmade ja nende liikumisega seonduvad aistingud.;K.a: lihasjäikuse ja -pinge, lihaskrambi või -kontraktsiooni ning lihaste raskuse aistingud;V.a: valuaisting (b280);
b750-b789;B;b7800;Lihasjäikuse aisting;Lihaste pinguloleku või jäikuse tunne.;;;
